scenario_id,frag,shock_prob,K,move_cost,champ_biomass,ref_biomass,delta,champ_cv,ref_cv
0,0.1,0.05,500.0,0.1,497.3940780413185,492.02896886835305,5.365109172965447,0.07559005937923625,0.08266476143000925
1,0.1,0.05,500.0,0.3,497.3940780413185,492.02896886835305,5.365109172965447,0.07559005937923625,0.08266476143000925
2,0.1,0.05,1500.0,0.1,899.382020354619,794.4926806428405,104.88933971177858,0.31356916286347963,0.2009238304335706
3,0.1,0.05,1500.0,0.3,899.382020354619,794.4926806428405,104.88933971177858,0.31356916286347963,0.2009238304335706
4,0.1,0.2,500.0,0.1,497.3940516660738,492.0279529612664,5.366098704807371,0.07559005509078197,0.08266469966031133
5,0.1,0.2,500.0,0.3,497.3940516660738,492.0279529612664,5.366098704807371,0.07559005509078197,0.08266469966031133
6,0.1,0.2,1500.0,0.1,899.5375728189717,794.647762569813,104.8898102491587,0.31323823404031415,0.20046351910311838
7,0.1,0.2,1500.0,0.3,899.5375728189717,794.647762569813,104.8898102491587,0.31323823404031415,0.20046351910311838
8,0.3,0.05,500.0,0.1,497.3971965517286,492.14997192960027,5.2472246221283285,0.07558562370678103,0.08238107957873816
9,0.3,0.05,500.0,0.3,497.3971965517286,492.14997192960027,5.2472246221283285,0.07558562370678103,0.08238107957873816
10,0.3,0.05,1500.0,0.1,900.3131105059936,795.4079492050228,104.9051613009708,0.31408702284421325,0.20253357208576692
11,0.3,0.05,1500.0,0.3,900.3131105059936,795.4079492050228,104.9051613009708,0.31408702284421325,0.20253357208576692
12,0.3,0.2,500.0,0.1,497.3971710674197,492.1489857743512,5.248185293068502,0.07558561956105941,0.0823810164010073
13,0.3,0.2,500.0,0.3,497.3971710674197,492.1489857743512,5.248185293068502,0.07558561956105941,0.0823810164010073
14,0.3,0.2,1500.0,0.1,900.4686504052822,795.5630403868348,104.90561001844742,0.31375621552237043,0.20207646994763473
15,0.3,0.2,1500.0,0.3,900.4686504052822,795.5630403868348,104.90561001844742,0.31375621552237043,0.20207646994763473
16,0.5,0.05,500.0,0.1,497.4003154308285,492.2715273499927,5.128788080835818,0.07558118994227637,0.08209971318129292
17,0.5,0.05,500.0,0.3,497.4003154308285,492.2715273499927,5.128788080835818,0.07558118994227637,0.08209971318129292
18,0.5,0.05,1500.0,0.1,901.2774712433244,796.3563875112076,104.92108373211681,0.31461653538390116,0.20419294685740913
19,0.5,0.05,1500.0,0.3,901.2774712433244,796.3563875112076,104.92108373211681,0.31461653538390116,0.20419294685740913
20,0.5,0.2,500.0,0.1,497.4002908376725,492.27057123446167,5.1297196032108445,0.075581185939442,0.08209964878684324
21,0.5,0.2,500.0,0.3,497.4002908376725,492.27057123446167,5.1297196032108445,0.075581185939442,0.08209964878684324
22,0.5,0.2,1500.0,0.1,901.4329989047917,796.511489015298,104.92150988949368,0.31428586490671084,0.2037391260471554
23,0.5,0.2,1500.0,0.3,901.4329989047917,796.511489015298,104.92150988949368,0.31428586490671084,0.2037391260471554
24,0.7,0.05,500.0,0.1,497.4034346787086,492.39364049492025,5.009794183788358,0.07557675808642222,0.08182070718789317
25,0.7,0.05,500.0,0.3,497.4034346787086,492.39364049492025,5.009794183788358,0.07557675808642222,0.08182070718789317
26,0.7,0.05,1500.0,0.1,902.2775679458507,797.3404529164924,104.93711502935832,0.3151583712779807,0.20590471774631075
27,0.7,0.05,1500.0,0.3,902.2775679458507,797.3404529164924,104.93711502935832,0.3151583712779807,0.20590471774631075
28,0.7,0.2,500.0,0.1,497.40341097692163,492.3927147108983,5.010696266023331,0.07557675422666482,0.08182064177346134
29,0.7,0.2,500.0,0.3,497.40341097692163,492.3927147108983,5.010696266023331,0.07557675422666482,0.08182064177346134
30,0.7,0.2,1500.0,0.1,902.4330837957028,797.4955659052845,104.93751789041835,0.31482785531414276,0.2054542542030549
31,0.7,0.2,1500.0,0.3,902.4330837957028,797.4955659052845,104.93751789041835,0.31482785531414276,0.2054542542030549
