domain,steps,n_eval,mean_hv,std_hv,ci_lower,ci_upper,n
eco,200,5,4.88686779026161,0.42074641452709804,4.589355147389572,5.184380433133646,2
ent,50,3,2517.621799238676,85.03957808389487,2457.489736906311,2577.753861571041,2
