strategy,steps,n_eval,mean_hv,std_hv,ci_lower,ci_upper,n
nsga2,200,5,4.96243857966665,0.7176149242029427,4.455008200482079,5.4698689588512215,2
random,200,5,4.142608829650287,0.05592475808106339,4.10306405397495,4.182153605325624,2
