rule,argmax,majority,borda,copeland
argmax,1.0000,1.0000,1.0000,1.0000
majority,1.0000,1.0000,1.0000,1.0000
borda,1.0000,1.0000,1.0000,1.0000
copeland,1.0000,1.0000,1.0000,1.0000
