noise_sigma,mean_tau,ci_lower,ci_upper
0.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
10.0,0.9444444444444445,0.9222222222222223,0.9666666666666667
50.0,0.7444444444444446,0.7,0.7888888888888889
100.0,0.6194444444444446,0.5666666666666667,0.675
200.0,0.5083333333333334,0.4527777777777778,0.5666666666666667
