budget_seeds,mean_hv,std_hv,ci_lower,ci_upper,n
1,1.1005777573643372,2.2584051416334807e-16,1.1005777573643372,1.1005777573643372,30
5,1.0978970437362858,0.0,1.0978970437362858,1.0978970437362858,30
10,1.1005777573645545,0.0,1.1005777573645545,1.1005777573645545,30
